Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
3116;Uznach;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SBB;3116-2024-03-30T00:00:00-9999;8503116
3121;Rüti ZH;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3121-2024-08-01T00:00:00-9999;8503121
3121;Rüti ZH;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3121-2024-05-09T00:00:00-9999;8503121
3121;Rüti ZH;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3121-2024-05-01T00:00:00-9999;8503121
3121;Rüti ZH;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3121-2024-03-29T00:00:00-9999;8503121
3122;Bubikon;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3122-2024-05-20T00:00:00-9999;8503122
3123;Wetzikon;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;08:00;12:00;13:15;17:00;;;SBB;3123-2024-05-01T00:00:00-9999;8503123
3127;Schwerzenbach ZH;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3127-2024-05-20T00:00:00-9999;8503127
3127;Schwerzenbach ZH;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3127-2024-05-09T00:00:00-9999;8503127
3127;Schwerzenbach ZH;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3127-2024-05-01T00:00:00-9999;8503127
3127;Schwerzenbach ZH;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3127-2024-04-01T00:00:00-9999;8503127
3127;Schwerzenbach ZH;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3127-2024-03-29T00:00:00-9999;8503127
3128;Dübendorf;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3128-2024-04-01T00:00:00-9999;8503128
3128;Dübendorf;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3128-2024-03-29T00:00:00-9999;8503128
3134;Bauma;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3134-2024-05-09T00:00:00-9999;8503134
3134;Bauma;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3134-2024-05-01T00:00:00-9999;8503134
3138;Wald;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3138-2024-05-01T00:00:00-9999;8503138
3202;Thalwil;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3202-2024-08-01T00:00:00-9999;8503202
3202;Thalwil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3202-2024-03-29T00:00:00-9999;8503202
